dataset,alpha,experiment,coverage_nan,coverage_full
scm1d,0.1,0,0.8980632008154944,0.8674821610601428
scm1d,0.1,2,0.890927624872579,0.8532110091743119
scm1d,0.05,2,0.9398572884811416,0.90927624872579
scm1d,0.05,0,0.944954128440367,0.9317023445463812
scm1d,0.1,4,0.9164118246687054,0.9031600407747196
scm1d,0.05,4,0.9510703363914372,0.9480122324159022
scm1d,0.1,1,0.9041794087665648,0.8878695208970439
scm1d,0.05,1,0.945973496432212,0.9408766564729868
scm1d,0.1,3,0.8960244648318043,0.8654434250764526
scm1d,0.05,3,0.945973496432212,0.9317023445463812
scm1d,0.1,8,0.8980632008154944,0.8674821610601428
scm1d,0.05,8,0.9561671763506626,0.9418960244648318
scm1d,0.1,9,0.9153924566768604,0.8858307849133538
scm1d,0.05,9,0.9500509683995922,0.9317023445463812
scm20d,0.1,2,0.876391982182628,0.8351893095768375
scm20d,0.05,2,0.9420935412026726,0.9175946547884188
scm20d,0.1,3,0.923162583518931,0.8752783964365256
scm20d,0.05,3,0.9688195991091314,0.9365256124721604
scm1d,0.1,6,0.8705402650356778,0.8430173292558614
scm1d,0.05,6,0.9357798165137616,0.9153924566768604
scm20d,0.1,5,0.9075723830734966,0.8674832962138085
scm20d,0.05,5,0.967706013363029,0.9409799554565702
scm20d,0.1,6,0.8808463251670379,0.8518930957683741
scm20d,0.05,6,0.94543429844098,0.9298440979955456
scm20d,0.1,7,0.8964365256124721,0.8574610244988864
scm20d,0.05,7,0.9532293986636972,0.9365256124721604
rf1,0.1,7,0.9070021881838074,0.8960612691466083
rf1,0.05,7,0.9606126914660832,0.9518599562363238
rf2,0.1,5,0.9113785557986872,0.9004376367614879
rf2,0.05,5,0.9540481400437636,0.9409190371991248
rf1,0.1,5,0.9004376367614879,0.8927789934354485
rf1,0.05,5,0.9420131291028446,0.936542669584245
rf2,0.1,3,0.8829321663019694,0.8632385120350109
rf2,0.05,3,0.9277899343544858,0.912472647702407
rf1,0.1,9,0.9080962800875274,0.8982494529540481
rf1,0.05,9,0.9638949671772428,0.9573304157549234
scm20d,0.1,9,0.8897550111358574,0.8429844097995546
scm20d,0.05,9,0.9220489977728286,0.900890868596882
rf2,0.1,0,0.9070021881838074,0.8916849015317286
rf2,0.1,4,0.9135667396061268,0.8916849015317286
rf2,0.05,0,0.9584245076586432,0.9463894967177244
rf2,0.05,4,0.9540481400437636,0.937636761487965
rf1,0.1,6,0.9026258205689278,0.888402625820569
rf1,0.05,6,0.9606126914660832,0.9529540481400438
rf2,0.1,1,0.9048140043763676,0.8982494529540481
rf2,0.05,1,0.9704595185995624,0.962800875273523
scm20d,0.1,1,0.9086859688195992,0.8697104677060133
scm1d,0.1,5,0.9072375127420998,0.8746177370030581
scm20d,0.05,1,0.9643652561247216,0.9365256124721604
scm1d,0.05,5,0.961264016309888,0.9398572884811416
rf1,0.1,8,0.8851203501094091,0.8708971553610503
rf1,0.05,8,0.9409190371991248,0.9234135667396062
rf2,0.1,6,0.8840262582056893,0.8676148796498906
rf2,0.05,6,0.948577680525164,0.9288840262582057
scm20d,0.1,4,0.8975501113585747,0.8541202672605791
scm20d,0.05,4,0.967706013363029,0.9420935412026726
rf2,0.1,2,0.9059080962800876,0.8894967177242888
rf2,0.05,2,0.9442013129102844,0.9321663019693656
scm20d,0.1,8,0.8897550111358574,0.8452115812917594
scm20d,0.05,8,0.9420935412026726,0.9220489977728286
scm20d,0.1,0,0.888641425389755,0.8485523385300668
scm20d,0.05,0,0.9521158129175946,0.9287305122494433
scm1d,0.1,7,0.8827726809378186,0.8440366972477065
scm1d,0.05,7,0.9510703363914372,0.9276248725790012
rf2,0.1,7,0.8960612691466083,0.8807439824945296
rf2,0.05,7,0.949671772428884,0.9420131291028446
rf2,0.1,8,0.9168490153172868,0.8938730853391685
rf2,0.05,8,0.9573304157549234,0.9431072210065644
rf2,0.1,9,0.8916849015317286,0.8894967177242888
rf2,0.05,9,0.9573304157549234,0.9540481400437636
biais,0.1,1,0.9201030927835052,0.9265463917525774
biais,0.05,1,0.9574742268041238,0.9677835051546392
biais,0.1,2,0.911082474226804,0.913659793814433
biais,0.05,2,0.9587628865979382,0.9677835051546392
biais,0.1,0,0.8943298969072165,0.9033505154639176
biais,0.05,0,0.9432989690721648,0.9587628865979382
biais,0.1,6,0.9072164948453608,0.9020618556701032
biais,0.05,6,0.9574742268041238,0.9626288659793816
biais,0.1,5,0.8891752577319587,0.8878865979381443
biais,0.05,5,0.9484536082474226,0.9536082474226804
biais,0.1,4,0.911082474226804,0.9072164948453608
biais,0.05,4,0.9664948453608248,0.9677835051546392
biais,0.1,7,0.8994845360824743,0.9020618556701032
biais,0.05,7,0.9548969072164948,0.961340206185567
biais,0.1,9,0.9239690721649484,0.911082474226804
biais,0.05,9,0.961340206185567,0.9587628865979382
biais,0.1,8,0.904639175257732,0.8981958762886598
biais,0.05,8,0.952319587628866,0.9548969072164948
house,0.1,7,0.901017576318224,0.8802035152636448
house,0.05,7,0.9528214616096208,0.9380203515263644
house,0.1,3,0.904717853839038,0.8922294172062905
house,0.05,3,0.9602220166512488,0.9491211840888066
house,0.1,5,0.8959296947271045,0.8704902867715079
house,0.1,8,0.902867715078631,0.8815911193339501
house,0.05,8,0.9528214616096208,0.9435707678075856
house,0.05,5,0.9444958371877892,0.9283071230342276
house,0.1,6,0.88945420906568,0.8686401480111008
house,0.05,6,0.9412580943570767,0.9185938945420906
house,0.1,0,0.8977798334875116,0.8788159111933395
house,0.05,0,0.9537465309898242,0.937095282146161
house,0.1,4,0.9107308048103608,0.8843663274745606
house,0.05,4,0.9592969472710452,0.9454209065679926
rf1,0.1,1,0.8960612691466083,0.8862144420131292
rf1,0.05,1,0.949671772428884,0.9354485776805253
house,0.1,2,0.8774283071230342,0.8658649398704903
house,0.05,2,0.931082331174838,0.919981498612396
rf1,0.1,3,0.9299781181619255,0.9135667396061268
rf1,0.05,3,0.9606126914660832,0.948577680525164
rf1,0.1,2,0.9102844638949672,0.9080962800875274
rf1,0.1,4,0.8894967177242888,0.87527352297593
rf1,0.05,2,0.9584245076586432,0.9562363238512036
rf1,0.1,0,0.9102844638949672,0.8938730853391685
rf1,0.05,4,0.9573304157549234,0.9420131291028446
rf1,0.05,0,0.9671772428884028,0.9518599562363238
house,0.1,1,0.8889916743755781,0.8621646623496763
house,0.05,1,0.9454209065679926,0.931082331174838
taxi,0.1,9,0.899021207177814,0.8246329526916802
taxi,0.05,9,0.9526916802610114,0.8848287112561175
casp,0.1,4,0.9031482291211194,0.8961521644075208
casp,0.05,4,0.9488412767818102,0.94993441189331
casp,0.1,5,0.9018364669873196,0.8893747267162221
casp,0.05,5,0.9488412767818102,0.9446873633581112
casp,0.1,2,0.9064276344556188,0.8952776563183209
casp,0.05,2,0.9564932225623088,0.954962833406209
house,0.1,9,0.8899167437557817,0.8714153561517114
house,0.05,9,0.9454209065679926,0.9338575393154488
taxi,0.1,4,0.897879282218597,0.8251223491027733
taxi,0.05,4,0.9471451876019576,0.8845024469820555
casp,0.1,7,0.895059029296021,0.8946217752514211
casp,0.05,7,0.9444687363358112,0.9457804984696108
casp,0.1,8,0.90074333187582,0.8941845212068211
casp,0.05,8,0.9536510712724092,0.9516834280717096
taxi,0.1,8,0.901468189233279,0.83278955954323
taxi,0.05,8,0.9507340946166396,0.8921696574225122
casp,0.1,9,0.8992129427197202,0.8989943156974202
casp,0.05,9,0.9510275470048098,0.9540883253170092
casp,0.1,6,0.9020550940096196,0.8968080454744206
casp,0.05,6,0.9481853957149105,0.94971578487101
casp,0.1,3,0.9029296020988196,0.9011805859204196
casp,0.05,3,0.9519020550940096,0.9562745955400088
taxi,0.1,5,0.9119086460032626,0.8301794453507341
taxi,0.05,5,0.9500815660685156,0.8822185970636215
casp,0.1,1,0.8989943156974202,0.8985570616528203
casp,0.05,1,0.9516834280717096,0.9556187144731088
taxi,0.1,1,0.9032626427406198,0.8200652528548124
taxi,0.05,1,0.9526916802610114,0.8905383360522022
taxi,0.1,2,0.9055464926590538,0.8355628058727569
taxi,0.05,2,0.9538336052202284,0.90163132137031
taxi,0.1,3,0.8973898858075041,0.8228384991843393
taxi,0.05,3,0.9430668841761828,0.8810766721044045
taxi,0.1,7,0.8967373572593801,0.8228384991843393
casp,0.1,0,0.9070835155225184,0.9022737210319196
casp,0.05,0,0.9573677306515084,0.9551814604285088
taxi,0.05,7,0.9507340946166396,0.8900489396411093
taxi,0.1,6,0.8902120717781403,0.8326264274061991
taxi,0.05,6,0.9437194127243068,0.8955954323001631
taxi,0.1,0,0.8972267536704731,0.8192495921696574
taxi,0.05,0,0.9491027732463296,0.8916802610114193
biais,0.1,3,0.922680412371134,0.9162371134020618
biais,0.05,3,0.9652061855670103,0.970360824742268
